"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents","",,"IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","C1","601","Presents the table of contents for this issue of the publication.","1941-0026","","10.1109/TEVC.2022.3189704","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844810","","","","","","","","0","IEEE","29 Jul 2022","","","IEEE","IEEE Journals"
"IEEE Transactions on Evolutionary Computation Publication Information","",,"IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","C2","C2","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.","1941-0026","","10.1109/TEVC.2022.3189114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844809","","","","","","","","0","IEEE","29 Jul 2022","","","IEEE","IEEE Journals"
"A Kernel-Based Indicator for Multi/Many-Objective Optimization","X. Cai; Y. Xiao; Z. Li; Q. Sun; H. Xu; M. Li; H. Ishibuchi","College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Department of Computing, Harbin Institute of Technology, Harbin, China; Centre of Excellence for Research in Computational Intelligence and Applications, School of Computer Science, University of Birmingham, Birmingham, U.K.; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","602","615","How to evaluate Pareto front approximations generated by multi/many-objective optimizers is a critical issue in the field of multiobjective optimization. Currently, there exist two types of comprehensive quality indicators (i.e., volume-based and distance-based indicators). Distance-based indicators, such as inverted generational distance (IGD), are usually computed by summing up the distance of each reference point to its nearest solution. Their high computational efficiency leads to their prevalence in many-objective optimization. However, in the existing distance-based indicators, the distributions of the solution sets are usually neglected, leading to their lack of ability to well distinguish between different solution sets. This phenomenon may become even more severe in high-dimensional space. To address such an issue, a kernel-based indicator (KBI) is proposed as a comprehensive indicator. Different from other distance-based indicators, a kernel-based maximum mean discrepancy is adopted in KBI for directly measuring the difference that can characterize the convergence, spread, and uniformity of two sets, i.e., the solution set and reference set, by embedding them in reproducing kernel Hilbert space (RKHS). As a result, KBI not only reflects the distance between the solution set and the reference set but also can reflect the distribution of the solution set itself. In addition, to maintain the desirable weak Pareto compliance property of KBI, a nondominated set reconstruction approach is also proposed to shift the original solution set. The detailed theoretical and experimental analysis of KBI is provided in this article. The properties of KBI have also been analyzed by the optimal  $\mu $ -distribution.","1941-0026","","10.1109/TEVC.2021.3105565","National Natural Science Foundation of China (NSFC)(grant numbers:61732006,62072234,61473241); National Key Research and Development Program of China(grant numbers:2018YFB1402900); Natural Science Foundation of Jiangsu Province of China(grant numbers:BK20181288); China Postdoctoral Science Foundation(grant numbers:2015M571751); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515483","Kernel method;many-objective optimization;multiobjective optimization;quality evaluation","Optimization;Convergence;Kernel;Pareto optimization;Extraterrestrial measurements;Computer science;Visualization","evolutionary computation;Hilbert spaces;Pareto optimisation","KBI;kernel-based indicator;comprehensive quality indicators;inverted generational distance;solution sets;comprehensive indicator;kernel-based maximum mean discrepancy;many-objective optimization;distance-based indicators;volume-based indicators;reproducing kernel Hilbert space;RKHS;reference set;weak Pareto compliance property;nondominated set reconstruction approach","","2","","64","IEEE","17 Aug 2021","","","IEEE","IEEE Journals"
"Clustering-Guided Particle Swarm Feature Selection Algorithm for High-Dimensional Imbalanced Data With Missing Values","Y. Zhang; Y. -H. Wang; D. -W. Gong; X. -Y. Sun","School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","616","630","Feature selection (FS) in data with class imbalance or missing values has received much attention from researchers due to their universality in real-world applications. However, for data with both the two characteristics above, there is still a lack of the corresponding FS algorithm. Due to the complex coupling relationship between missing data and class imbalance, the need for better FS method becomes essential. To tackle high-dimensional imbalanced data with missing values, this article studies a new evolutionary FS method. First, an improved  $F$ -measure based on filling risk (RF-measure) is defined to evaluate the influence of missing data on the performance of FS in the case of class imbalance. Following that taking the RF-measure as an objective function, a particle swarm optimization-based FS method with fuzzy clustering (PSOFS-FC) is proposed. Two new problem-specific operators or strategies, i.e., the swarm initialization strategy guided by fuzzy clustering and the local pruning operator based on feature importance, are developed to improve the performance of PSOFS-FC. Compared with state-of-the-art FS algorithms on several public datasets, experimental results show that PSOFS-FC can achieve excellent classification performance with relatively less running time, indicating its superiority on tackling high-dimensional imbalanced data with missing values.","1941-0026","","10.1109/TEVC.2021.3106975","National Natural Science Foundation of China(grant numbers:61876185,61876184,61973305); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9521243","Class imbalance;feature selection (FS);fuzzy clustering;missing value;particle swarm optimization (PSO)","Clustering algorithms;Feature extraction;Particle swarm optimization;Mutual information;Search problems;Computational efficiency;Sun","feature selection;fuzzy set theory;particle swarm optimisation;pattern classification;pattern clustering","PSOFS-FC;local pruning operator;problem-specific operators;particle swarm optimization-based FS method with fuzzy clustering;clustering-guided particle swarm feature selection algorithm;FS algorithm;class imbalance;RF-measure","","27","","74","IEEE","24 Aug 2021","","","IEEE","IEEE Journals"
"An Ensemble Surrogate-Based Framework for Expensive Multiobjective Evolutionary Optimization","Q. Lin; X. Wu; L. Ma; J. Li; M. Gong; C. A. C. Coello","College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, International Research Center for Intelligent Perception and Computation, Xidian University, Xi’an, China; Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","631","645","Surrogate-assisted evolutionary algorithms (SAEAs) have become very popular for tackling computationally expensive multiobjective optimization problems (EMOPs), as the surrogate models in SAEAs can approximate EMOPs well, thereby reducing the time cost of the optimization process. However, with the increased number of decision variables in EMOPs, the prediction accuracy of surrogate models will deteriorate, which inevitably worsens the performance of SAEAs. To deal with this issue, this article suggests an ensemble surrogate-based framework for tackling EMOPs. In this framework, a global surrogate model is trained under the entire search space to explore the global area, while a number of surrogate submodels are trained under different search subspaces to exploit the subarea, so as to enhance the prediction accuracy and reliability. Moreover, a new infill sampling criterion is designed based on a set of reference vectors to select promising samples for training the models. To validate the generality and effectiveness of our framework, three state-of-the-art evolutionary algorithms [nondominated sorting genetic algorithm III (NSGA-III), multiobjective evolutionary algorithm based on decomposition with differential evolution (MOEA/D-DE) and reference vector-guided evolutionary algorithm (RVEA)] are embedded, which significantly improve their performance for solving most of the test EMOPs adopted in this article. When compared to some competitive SAEAs for solving EMOPs with up to 30 decision variables, the experimental results also validate the advantages of our approach in most cases.","1941-0026","","10.1109/TEVC.2021.3103936","National Natural Science Foundation of China (NSFC)(grant numbers:61876110); Joint Funds of the NSFC through Key Program(grant numbers:U1713212); Shenzhen Scientific Research and Development Funding Program(grant numbers:JCYJ20190808164211203); Guangdong “Pearl River Talent Recruitment Program”(grant numbers:2019ZT08X603); Shenzhen Science and Technology Innovation Commission(grant numbers:R2020A045); CONACyT Project(grant numbers:1920); 2018 SEP-Cinvestav Grant (application no. 4); Basque Government through the BERC 2018–2021 Program by the Spanish Ministry of Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509584","Ensemble surrogate;evolutionary algorithms;model management;multiobjective optimization","Optimization;Computational modeling;Predictive models;Evolutionary computation;Uncertainty;Training;Space exploration","genetic algorithms;Pareto optimisation;search problems","expensive multiobjective optimization problems;approximate EMOPs;prediction accuracy;tackling EMOPs;global surrogate model;entire search space;global area;surrogate submodels;infill sampling criterion;nondominated sorting genetic algorithm III;competitive SAEAs;decision variables;multiobjective evolutionary optimization;surrogate-assisted evolutionary algorithms;multiobjective evolutionary algorithm based on decomposition with differential evolution;reference vector-guided evolutionary algorithm","","7","","58","IEEE","10 Aug 2021","","","IEEE","IEEE Journals"
"A Voting-Mechanism-Based Ensemble Framework for Constraint Handling Techniques","G. Wu; X. Wen; L. Wang; W. Pedrycz; P. N. Suganthan","School of Traffic and Transportation Engineering, Central South University, Changsha, China; School of Traffic and Transportation Engineering, Central South University, Changsha, China; Department of Automation, Tsinghua University, Beijing, China; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; School of Electrical Electronic Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","646","660","Effective constraint handling techniques (CHTs) are of great significance for evolutionary algorithms (EAs) dealing with constrained optimization problems (COPs). To date, many CHTs, such as penalty function, superiority of feasible solutions, and  $\epsilon $ -constraint (EC), have been designed. However, different CHTs are usually suited to different problems, even the most appropriate technique changes along with the stages of the optimization process. Motivated by this phenomenon, we propose a voting-mechanism-based ensemble framework, named voting mechanism for constraint handling (VMCH), to integrate multiple CHTs for solving various COPs. In this framework, each CHT acts as a voter, all voters vote for each pair of solutions, and the solution in each pair with the highest weighted votes is considered better. In addition, an adaptive strategy is developed to adjust the voter weights according to their historical voting performance. To investigate the performance of VMCH in improving existing algorithms, the proposed VMCH is embedded into the three best algorithms in the competition on constrained single objective real-parameter optimization at CEC 2018, namely, MAgES, iLSHADE $\epsilon $ , and IUDE, to form three new algorithm versions, i.e., MAgES-VMCH, iLSHADE $\epsilon $ -VMCH, and IUDE-VMCH. They are compared with seven state-of-the-art peer algorithms. Extensive experiments are conducted on 57 real-world COPs. The ranking results show that the new algorithm version MAgES-VMCH takes first place among the ten comparison algorithms. Moreover, all the new VMCH-enhanced versions of the three best algorithms are superior to their original versions. Therefore, the proposed VMCH framework can achieve competitive performance in solving COPs.","1941-0026","","10.1109/TEVC.2021.3110130","National Natural Science Foundation of China(grant numbers:62073341); Natural Science Fund for Distinguished Young Scholars of Hunan Province(grant numbers:2019JJ20026); National Natural Science Foundation of Hunan Province(grant numbers:2020JJ4748); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9528854","Constrained optimization;constraint handling technique (CHT);ensemble framework;voting mechanism","Optimization;Statistics;Sociology;Linear programming;Constraint handling;Partitioning algorithms;Convergence","constraint handling;evolutionary computation;optimisation","voting-mechanism-based ensemble framework;constraint handling techniques;evolutionary algorithms;constrained optimization problems;COP;ε-constraint;CHT;voter weights;historical voting performance;iLSHADEε-VMCH;IUDE-VMCH;peer algorithms;comparison algorithms;voting mechanism for constraint handling;adaptive strategy;constrained single objective real-parameter optimization;MAgES-VMCH","","20","","60","IEEE","3 Sep 2021","","","IEEE","IEEE Journals"
"Genetic Programming for Manifold Learning: Preserving Local Topology","A. Lensen; B. Xue; M. Zhang","Evolutionary Computation Research Group, Victoria University of Wellington, Wellington, New Zealand; Evolutionary Computation Research Group, Victoria University of Wellington, Wellington, New Zealand; Evolutionary Computation Research Group, Victoria University of Wellington, Wellington, New Zealand","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","661","675","Manifold learning (MaL) methods are an invaluable tool in today’s world of increasingly huge datasets. MaL algorithms can discover a much lower-dimensional representation (embedding) of a high-dimensional dataset through nonlinear transformations that preserve the most important structure of the original data. State-of-the-art MaL methods directly optimize an embedding without mapping between the original space and the discovered embedded space. This makes interpretability—a key requirement in exploratory data analysis—nearly impossible. Recently, genetic programming has emerged as a very promising approach to MaL by evolving functional mappings from the original space to an embedding. However, genetic programming-based MaL has struggled to match the performance of other approaches. In this work, we propose a new approach to using genetic programming for MaL, which preserves local topology. This is expected to significantly improve performance on tasks where local neighborhood structure (topology) is paramount. We compare our proposed approach with various baseline MaL methods and find that it often outperforms other methods, including a clear improvement over previous genetic programming approaches. These results are particularly promising, given the potential interpretability and reusability of the evolved mappings.","1941-0026","","10.1109/TEVC.2021.3106672","Marsden Fund of the New Zealand Government(grant numbers:VUW1913,VUW1914); University Research Fund at Te Herenga Waka—Victoria University of Wellington(grant numbers:226161/4164); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9520652","Evolutionary learning;feature construction;feature selection;genetic programming (GP);manifold learning (MaL)","Topology;Manifold learning;Task analysis;Genetic programming;Manifolds;Computational modeling;Numerical models","data analysis;genetic algorithms;learning (artificial intelligence)","preserving local topology;manifold learning methods;invaluable tool;increasingly huge datasets;MaL algorithms;lower-dimensional representation;high-dimensional dataset;nonlinear transformations;important structure;state-of-the-art MaL methods;discovered embedded space;interpretability-a key requirement;exploratory data analysis;functional mappings;genetic programming-based MaL;local neighborhood structure;baseline MaL methods;previous genetic programming approaches;evolved mappings","","4","","45","IEEE","23 Aug 2021","","","IEEE","IEEE Journals"
"Surrogate-Assisted Autoencoder-Embedded Evolutionary Optimization Algorithm to Solve High-Dimensional Expensive Problems","M. Cui; L. Li; M. Zhou; A. Abusorrah","Department of Electronics and Information Engineering, Tongji University, Shanghai, China; Department of Electronics and Information Engineering, Tongji University, Shanghai, China; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA; Department of Electrical and Computer Engineering, Faculty of Engineering, Center of Research Excellence in Renewable Energy and Power Systems, King Abdulaziz University, Jeddah, Saudi Arabia","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","676","689","Surrogate-assisted evolutionary algorithms (EAs) have been intensively used to solve computationally expensive problems with some success. However, traditional EAs are not suitable to deal with high-dimensional expensive problems (HEPs) with high-dimensional search space even if their fitness evaluations are assisted by surrogate models. The recently proposed autoencoder-embedded evolutionary optimization (AEO) framework is highly appropriate to deal with high-dimensional problems. This work aims to incorporate surrogate models into it to further boost its performance, thus resulting in surrogate-assisted AEO (SAEO). It proposes a novel model management strategy that can guarantee reasonable amounts of re-evaluations; hence, the accuracy of surrogate models can be enhanced via being updated with new evaluated samples. Moreover, to ensure enough data samples before constructing surrogates, a problem-dimensionality-dependent activation condition is developed for incorporating surrogates into the SAEO framework. SAEO is tested on seven commonly used benchmark functions and compared with state-of-the-art algorithms for HEPs. The experimental results show that SAEO can further enhance the performance of AEO on most cases and SAEO performs significantly better than other algorithms. Therefore, SAEO has great potential to deal with HEPs.","1941-0026","","10.1109/TEVC.2021.3113923","National Natural Science Foundation of China(grant numbers:72171172); Shanghai Science and Technology Major Special Project of Shanghai Development and Reform Commission(grant numbers:2021SHZDZX0100); Shanghai Commission of Science and Technology(grant numbers:19511132100,19511132101); Deanship of Scientific Research (DSR) at King Abdulaziz University(grant numbers:FP-52-43); China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542966","Autoencoders;expensive problems;high-dimensional optimization;surrogate models","Predictive models;Optimization;Computational modeling;Iron;Data models;Prediction algorithms;Uncertainty","evolutionary computation;mathematics computing;neural nets;optimisation","benchmark functions;SAEO framework;fitness evaluations;surrogate-assisted autoencoder-embedded evolutionary optimization algorithm;evolutionary algorithms;problem-dimensionality-dependent activation condition;novel model management strategy;surrogate-assisted AEO;high-dimensional problems;surrogate models;high-dimensional search space;HEPs;high-dimensional expensive problems","","31","","70","IEEE","21 Sep 2021","","","IEEE","IEEE Journals"
"An Online Prediction Approach Based on Incremental Support Vector Machine for Dynamic Multiobjective Optimization","D. Xu; M. Jiang; W. Hu; S. Li; R. Pan; G. G. Yen","School of Informatics and the Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan, Ministry of Culture and Tourism of China, Xiamen University, Xiamen, Fujian, China; School of Informatics and the Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan, Ministry of Culture and Tourism of China, Xiamen University, Xiamen, Fujian, China; Multi-Party Data Computing R&D Department, Beijing Jingdong Century Trade Company Ltd, Beijing, China; School of Informatics and the Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan, Ministry of Culture and Tourism of China, Xiamen University, Xiamen, Fujian, China; Pneumatic Conveying Department, Fujian Longking Company Ltd, Fujian, China; School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK, USA","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","690","703","Real-world multiobjective optimization problems usually involve conflicting objectives that change over time, which requires the optimization algorithms to quickly track the Pareto-optimal front (POF) when the environment changes. In recent years, evolutionary algorithms based on prediction models have been considered promising. However, most existing approaches only make predictions based on the linear correlation between a finite number of optimal solutions in two or three previous environments. These incomplete information extraction strategies may lead to low prediction accuracy in some instances. In this article, an incremental support vector machine (ISVM)-based dynamic multiobjective evolutionary algorithm, in short called ISVM-DMOEA, is proposed. We treat the solving of dynamic multiobjective optimization problems (DMOPs) as an online learning process, using the continuously obtained optimal solution to update an ISVM without discarding the solution information at earlier time. ISVM is then used to filter random solutions and generate an initial population for the next moment. To overcome the obstacle of insufficient training samples, a synthetic minority oversampling strategy is implemented before the training of ISVM. The advantage of this approach is that the nonlinear correlation between solutions can be explored online by ISVM, and the information contained in all historical optimal solutions can be exploited to a greater extent. The experimental results and comparison with the chosen state-of-the-art algorithms demonstrate that the proposed algorithm can effectively tackle DMOPs.","1941-0026","","10.1109/TEVC.2021.3115036","National Natural Science Foundation of China(grant numbers:61673328); Collaborative Project Foundation of Fuzhou-Xiamen- Quanzhou Innovation Demonstration Zone(grant numbers:3502ZCQXT202001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546930","Evolutionary algorithm;incremental support vector machine (ISVM);multiobjective optimization;oversampling;prediction model","Optimization;Heuristic algorithms;Statistics;Sociology;Prediction algorithms;Support vector machines;Evolutionary computation","evolutionary computation;learning (artificial intelligence);Pareto optimisation;support vector machines","online prediction approach;real-world multiobjective optimization;Pareto-optimal front;environment changes;information extraction;incremental support vector machine;ISVM-DMOEA;dynamic multiobjective optimization problems;online learning process;dynamic multiobjective evolutionary algorithm","","8","","55","IEEE","23 Sep 2021","","","IEEE","IEEE Journals"
"Region-Focused Memetic Algorithms With Smart Initialization for Real-World Large-Scale Waste Collection Problems","W. Lan; Z. Ye; P. Ruan; J. Liu; P. Yang; X. Yao","Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jul 2022","2022","26","4","704","718","Memetic algorithm (MA) is widely applied to optimize routing problems as it provides one way to combine local search with global search. However, the local search in MA needs to be carefully designed according to the problem’s characteristics. In this article, we consider a real-world large-scale waste collection problem with multiple depots, multiple disposal facilities, multiple trips, and working time constraints. Vehicles with a limited capacity and working time can start from different depots, collect waste at different sites, and make multiple trips to different disposal facilities to empty the waste and return to its origin. While the existing work considered problems with multiple trips and time constraints, none have tackled problems with multiple depots, multiple disposal facilities, multiple trips, as well as working time constraints. The change from “single-depot” to “multidepot” not only reflects better the situation in real life but also leads to a qualitative different and more complex problem. In this article, we first model this complex problem mathematically. Then, a novel region-focused MA is proposed to tackle this new challenge. Compared to classic MA, this region-focused one is enhanced by two major components: 1) a new heuristic-assisted solution initialization algorithm and 2) a region-focused local search with novel heuristics. Comprehensive computational studies show that our proposed approaches significantly outperform several state-of-the-arts on our real problem of thousands of tasks. The new local search procedure and solution initialization method significantly improve the search ability in combination with global search ability of MA.","1941-0026","","10.1109/TEVC.2021.3123960","National Natural Science Foundation of China(grant numbers:61906083,61806090); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); Program for Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2017ZT07X386); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2021A1515011830); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Shenzhen Fundamental Research Program(grant numbers:JCYJ20190809121403553); Stable Support Plan Program of Shenzhen Natural Science Fund(grant numbers:20200925154942002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9594087","Capacitated vehicle routing problem (CVRP);local search;memetic algorithm (MA);metaheuristics;waste collection","Memetics;Routing;Task analysis;Search problems;Time factors;Heuristic algorithms;Industries","genetic algorithms;metaheuristics;search problems;transportation;vehicle routing;waste disposal","routing problem optimization;smart initialization;waste collection problem;region-focused memetic algorithms;global search ability;region-focused local search;heuristic-assisted solution initialization algorithm;region-focused MA;depots;working time constraints;multiple trips;disposal facilities","","5","","36","CCBY","29 Oct 2021","","","IEEE","IEEE Journals"
