"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Inter-individual correlation and Dimension Based Dual Learning for Dynamic Multi-objective Optimization","L. Yan; W. Qi; J. Liang; B. Qu; K. Yu; C. Yue; X. Chai","School of Electronic and Information Engineering, Zhongyuan University of Technology, Zhengzhou, China; School of Electronic and Information Engineering, Zhongyuan University of Technology, Zhengzhou, China; School of Electrical Engineering, Zhengzhou University, Zhengzhou, China; School of Electronic and Information Engineering, Zhongyuan University of Technology, Zhengzhou, China; School of Electrical Engineering, Zhengzhou University, Zhengzhou, China; School of Electrical Engineering, Zhengzhou University, Zhengzhou, China; School of Electronic and Information Engineering, Zhongyuan University of Technology, Zhengzhou, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Dynamic multiobjective optimization problems (DMOPs) are characterized by their multiple objectives, constraints, and parameters that may change over time. The challenge in solving DMOPs is how to track the varying Pareto optimal solution sets quickly and accurately. Therefore, an inter-individual correlation and dimension-based dual learning method is proposed in this paper. Two learning strategies, decomposition-based inter-individual correlation transfer learning (DICTL) and dimension-wise learning (DL), are developed to respectively generate one-half of the initial population in the new environment. More specifically, DICTL learns the inter-individual correlation from the final population of the adjacent environment and then transfers it to the new environment, aiming to maintain the diversity and distribution of the predicted population. While DL extracts the changing pattern of dynamic environments from the high-quality solutions of historical environments in the perspective of variable dimension, trying to improve the quality of the population and accelerate the convergence. The designed two learning strategies (DICTL&DL) work complementarily and collaboratively to make the algorithm adapt to dynamic environments better and faster. Comprehensive experiments have been conducted by comparing the proposed method with four state-of-the-art algorithms on 14 benchmark problems. The results demonstrate the superiority of the proposed method.","1941-0026","","10.1109/TEVC.2023.3235196","Research Award Fund for Outstanding Young Teachers in Henan Provincial Institutions of Higher Education(grant numbers:2020GGJS141,2021GGJS111); Natural Science Foundation of Henan Province(grant numbers:202300410511,212300410321); "Central Plains Thousand Talents Plan"-Top Talents in Central Plains(grant numbers:ZYQR201810162); Science and Technology Innovation Team of Colleges and Universities in Henan Province(grant numbers:22IRTSTHN015); National Natural Science Foundation of China(grant numbers:61876169,61922072,61976237,62103456); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10012059","Dynamic multiobjective optimization;dual learning;inter-individual correlation;dimension","Sociology;Correlation;Optimization;Convergence;Heuristic algorithms;Prediction algorithms;Manifolds","","","","IEEE","9 Jan 2023","","","IEEE","IEEE Early Access Articles"
"Interaction-based Prediction for Dynamic Multiobjective Optimization","X. -F. Liu; X. -X. Xu; Z. -H. Zhan; Y. Fang; J. Zhang","College of Artificial Intelligence, Institute of Robotics and Automatic Information System, Nankai University, Tianjin, China; School of Computer Science and Technology, Ocean University of China, Qingdao, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; College of Artificial Intelligence, Institute of Robotics and Automatic Information System, Nankai University, Tianjin, China; Zhejiang Normal University, Jinhua, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Dynamic multiobjective optimization poses great challenges to evolutionary algorithms due to the change of optimal solutions or Pareto front with time. Learning-based methods are popular to extract the changing pattern of optimal solutions for predicting new solutions. They tend to use all variables as features (i.e., inputs) to build prediction models. However, there are usually some irrelevant and redundant variables, which increase training difficulty and decrease prediction accuracy. This paper proposes a new interaction-based prediction method, which captures the correlation of variables with prediction targets and selects the most relevant variables to build prediction models using neural networks. In particular, the interaction between variables is detected to remove redundant variables. In addition, a correction procedure is developed to further improve predicted solutions according to the prediction error in past environments. The predicted solutions are used to update the population according to a specifically designed update strategy. Integrating the interaction-based prediction (IP) method into the framework of multiobjective evolutionary algorithm based on decomposition (MOEA/D), a new algorithm named IP-DMOEA is put forward. Experimental results on a typical dynamic multiobjective test suite demonstrate the better performance of the proposed IPDMOEA than state-of-the-art algorithms in terms of convergence speed and solution quality. The proposed IP-DMOEA is also successfully applied to the multirobot task scheduling problem.","1941-0026","","10.1109/TEVC.2023.3234113","Guangdong Natural Science Foundation Research Team(grant numbers:2018B030312003); Natural Science Foundation of Tianjin City(grant numbers:21JCQNJC00140); National Natural Science Foundation of China(grant numbers:62103202,62176094); National Research Foundation of Korea(grant numbers:NRF-2022H1D3A2A01093478); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005616","Dynamic multiobjective optimization;prediction;neural network;correlation;interaction;evolutionary computation","Predictive models;Data models;Statistics;Sociology;Prediction algorithms;Heuristic algorithms;Task analysis","","","","","","","IEEE","4 Jan 2023","","","IEEE","IEEE Early Access Articles"
"Domain Generalization-Based Dynamic Multiobjective Optimization: A Case Study on Disassembly Line Balancing","Y. Fang; F. Liu; M. Li; H. Cui","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Computer Science, University of Birmingham, Birmingham, UK; School of Information Engineering, Wuhan University of Technology, Wuhan, China","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","The objective of disassembly lines is to disassemble End-of-Life products in a remanufacturing field. The disassembly line balancing problem (DLBP) considers how to allocate disassembly operations to operators on the disassembly line to optimize predetermined goals, such as cycle time. In practice, various environmental uncertainties (e.g., uncertain product quality) exist in the disassembly line. These uncertainties entail DLBP essentially a dynamic multi-objective optimization problem. This study presents a dynamic DLBP (D-DLB) to model the effect of environmental uncertainties on the assignment of disassembly operations. Furthermore, a prediction-based dynamic optimization algorithm, termed domain generalization-based dynamic multi-objective evolutionary algorithm (DG-DMOEA), combining meta-learning with multi-objective optimization, is proposed to solve D-DLB. In DG-DMOEA, a meta-learning algorithm is employed to learn the parameters of a solution-generative model from the Pareto-optimal sets in all historical environments. Subsequently, the solution-generative model is applied to generate a high-quality initial population that can assist multi-objective optimization algorithms in finding the Pareto-optimal set in the new environment faster. Since no information in the new environment is required, learning can begin before the new environment arrives, significantly reducing computational time. Moreover, different solution-generative models can be designed for different DMOPs. Therefore, DG-DMOEA can thoroughly combine real-world problem properties to represent knowledge. The experimental results show that, compared with state-of-the-art methods, DG-DMOEA can considerably improve the quality of solutions and significantly enhance the ability to react quickly to environmental changes.","1941-0026","","10.1109/TEVC.2022.3233642","National Natural Science Foundation of China(grant numbers:52075402); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005005","Dynamic multi-objective optimization;dynamic optimization algorithm;meta-learning;domain generalization;disassembly line balancing","Optimization;Heuristic algorithms;Prediction algorithms;Uncertainty;Predictive models;Statistics;Sociology","","","","","","","IEEE","2 Jan 2023","","","IEEE","IEEE Early Access Articles"
"Neural Architecture Search as Multiobjective Optimization Benchmarks: Problem Formulation and Performance Assessment","Z. Lu; R. Cheng; Y. Jin; K. C. Tan; K. Deb","Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Chair of Nature Inspired Computing and Engineering, Faculty of Technology, Bielefeld University, Bielefeld, Germany; Department of Computing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","The ongoing advancements in network architecture design have led to remarkable achievements in deep learning across various challenging computer vision tasks. Meanwhile, the development of neural architecture search (NAS) has provided promising approaches to automating the design of network architectures for lower prediction error. Recently, the emerging application scenarios of deep learning (e.g., autonomous driving) have raised higher demands for network architectures considering multiple design criteria: number of parameters/weights, number of floating-point operations, inference latency, among others. From an optimization point of view, the NAS tasks involving multiple design criteria are intrinsically multiobjective optimization problems; hence, it is reasonable to adopt evolutionary multiobjective optimization (EMO) algorithms for tackling them. Nonetheless, there is still a clear gap confining the related research along this pathway: on the one hand, there is a lack of a general problem formulation of NAS tasks from an optimization point of view; on the other hand, there are challenges in conducting benchmark assessments of EMO algorithms on NAS tasks. To bridge the gap: (i) we formulate NAS tasks into general multi-objective optimization problems and analyze the complex characteristics from an optimization point of view; (ii) we present an end-to-end pipeline, dubbed EvoXBench, to generate benchmark test problems for EMO algorithms to run efficiently -without the requirement of GPUs or Pytorch/Tensorflow; (iii) we instantiate two test suites comprehensively covering two datasets, seven search spaces, and three hardware devices, involving up to eight objectives. Based on the above, we validate the proposed test suites using six representative EMO algorithms and provide some empirical analyses. The code of EvoXBench is available at https://github.com/EMI-Group/EvoXBench.","1941-0026","","10.1109/TEVC.2022.3233364","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004638","Evolutionary multi-objective optimization;neural architecture search;deep learning","Computer architecture;Optimization;Benchmark testing;Deep learning;Task analysis;Search problems;Hardware","","","","15","","","IEEE","2 Jan 2023","","","IEEE","IEEE Early Access Articles"
"Bilevel Optimization via Collaborations among Lower-Level Optimization Tasks","P. -Q. Huang; Q. Zhang; Y. Wang","School of Automation, Central South University, Changsha, China; Department of Computer Science, City University of Hong Kong, Hong Kong, Hong Kong; School of Automation, Central South University, Changsha, China","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Bilevel metaheuristics have been widely used for bilevel optimization. However, recent studies have indicated that most bilevel metaheuristics are inefficient since they perform the lower-level optimization task for each upper-level solution independently and neglect the relationship among lower-level optimization tasks. In this paper, we develop a bilevel metaheuristic with the collaborations among lower-level optimization tasks. Specifically, a population is evolved to solve the lower-level optimization tasks for all upper-level solutions collaboratively at each generation. In the population, each solution is associated with a lower-level optimization task. In such a way, all lower-level optimization tasks can be solved in a single run. To capture the individual features of different lower-level optimization tasks, we construct a lower-level search distribution for each lower-level optimization task based on all solutions in the population. In addition, an information-sharing mechanism is proposed to share good solutions among lower-level optimization tasks. Experiments on two sets of test problems and three practical applications demonstrate that our proposed algorithm performs better than other bilevel metaheuristics in comparison.","1941-0026","","10.1109/TEVC.2022.3233409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004713","Bilevel optimization;metaheuristics;multi-task collaboration;information sharing;search efficiency","Task analysis;Metaheuristics;Sociology;Collaboration;Particle swarm optimization;Genetic algorithms;Urban areas","","","","","","","IEEE","2 Jan 2023","","","IEEE","IEEE Early Access Articles"
"Learning-aided Evolution for Optimization","Z. -H. Zhan; J. -Y. Li; S. Kwong; J. Zhang","School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Computer Science, City University of Hong Kong, Hong Kong, Hong Kong; Zhejiang Normal University, Jinhua, China","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Learning and optimization are the two essential abilities of human beings for problem solving. Similarly, computer scientists have made great efforts to design artificial neural network (ANN) and evolutionary computation (EC) to simulate the learning ability and the optimization ability for solving real-world problems, respectively. These have been two essential branches in artificial intelligence (AI) and computer science. However, in humans, learning and optimization are usually integrated together for problem solving. Therefore, how to efficiently integrate these two abilities together to develop powerful AI remains a significant but challenging issue. Motivated by this, this paper proposes a novel learning-aided evolutionary optimization (LEO) framework that plus learning and evolution for solving optimization problems. The LEO is integrated with the evolution knowledge learned by ANN from the evolution process of EC to promote optimization efficiency. The LEO framework is applied to both classical EC algorithms and some state-of-the-art EC algorithms including a champion algorithm, with benchmarking against the IEEE Congress on Evolutionary Computation competition data. The experimental results show that the LEO can significantly enhance the existing EC algorithms to better solve both single-objective and multi-/many-objective global optimization problems, suggesting that learning plus evolution is more intelligent for problem solving. Moreover, the experimental results have also validated the time efficiency of the LEO, where the additional time cost for using LEO is greatly deserved. Therefore, the promising LEO can lead to a new and more efficient paradigm for EC algorithms to solve global optimization problems by plus learning and evolution.","1941-0026","","10.1109/TEVC.2022.3232776","National Key Research and Development Program of China(grant numbers:2019YFB2102102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002945","Evolutionary computation;learning-aided evolution;artificial neural network;particle swarm optimization;differential evolution;single-objective optimization;multi-objective optimization;many-objective optimization","Optimization;Artificial intelligence;Evolution (biology);Artificial neural networks;Learning systems;Problem-solving;Benchmark testing","","","","9","","","CCBY","29 Dec 2022","","","IEEE","IEEE Early Access Articles"
"OPTION: OPTImization Algorithm Benchmarking ONtology","A. Kostovska; D. Vermetten; C. Doerr; S. Džeroski; Panče Panov; T. Eftimov","Department of Knowledge Technologies, Jožef Stefan Institute, Ljubljana, Slovenia; Leiden Institute for Advanced Computer Science, Leiden, The Netherlands; Sorbonne Université, CNRS, LIP6, Paris, France; Department of Knowledge Technologies, Jožef Stefan Institute, Ljubljana, Slovenia; Department of Knowledge Technologies, Jožef Stefan Institute, Ljubljana, Slovenia; Computer Systems Department, Jožef Stefan Institute, Ljubljana, Slovenia","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Many optimization algorithm benchmarking platforms allow users to share their experimental data to promote reproducible and reusable research. However, different platforms use different data models and formats, which drastically complicates the identification of relevant datasets, their interpretation, and their interoperability. Therefore, a semantically rich, ontology-based, machine-readable data model that can be used by different platforms is highly desirable. In this paper, we report on the development of such an ontology, which we call OPTION (OPTImization algorithm benchmarking ONtology). Our ontology provides the vocabulary needed for semantic annotation of the core entities involved in the benchmarking process, such as algorithms, problems, and evaluation measures. It also provides means for automatic data integration, improved interoperability, and powerful querying capabilities, thereby increasing the value of the benchmarking data. We demonstrate the utility of OPTION, by annotating and querying a corpus of benchmark performance data from the BBOB collection of the COCO framework and from the Yet Another Black-Box Optimization Benchmark (YABBOB) family of the Nevergrad environment. In addition, we integrate features of the BBOB functional performance landscape into the OPTION knowledge base using publicly available datasets with exploratory landscape analysis. Finally, we integrate the OPTION knowledge base into the IOHprofiler environment and provide users with the ability to perform meta-analysis of performance data.","1941-0026","","10.1109/TEVC.2022.3232844","Paris Ile-de-France region(grant numbers:DIM RFSI AlgoSelect project); European Commission(grant numbers:952215); Javna Agencija za Raziskovalno Dejavnost RS(grant numbers:J2-9230,N2-0239,P2-0098,P2-0103,PR-09773); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002940","benchmarking;optimization;ontology;semantic annotation","Ontologies;Benchmark testing;Optimization;Resource description framework;Semantics;Annotations;Semantic Web","","","","","","","CCBY","29 Dec 2022","","","IEEE","IEEE Early Access Articles"
"Offline Data-Driven Multi-objective Optimization Evolutionary Algorithm based on Generative Adversarial Network","Y. Zhang; W. Hu; W. Yao; L. Lian; G. G. Yen","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; National Innovation Institute of Defense Technology, Chinese Academy of Military Science, Beijing, China; College of Materials Science and Engineering, Sichuan University, Chengdu, China; School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK, USA","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Usually, data-driven multi-objective optimiza -tion problems (DD-MOPs) are indirectly solved by evolutionary algorithms through the built surrogate model which is well-trained from sample data. However, in most DD-MOPs, only a few available data can be practicably collected from real engineering experiments due to the unaffordable cost and time. The key challenge in such a DD-MOP is to prevent the serious deterioration on the accuracy of the obtained approximate Pareto front. In this paper, two novel strategies, critical fitness for evolutionary algorithms and data augmentation for a surrogate model, are complementarily imposed by a generative adversarial network (GAN) to tackle with the challenges in DD-MOPs. In the critical fitness strategy, a new critical fitness, composed of the critical score from the discriminator of GAN and the prediction value of surrogate model, is proposed to improve the accuracy of approximate Pareto front of a DD-MOP. In the data augmentation strategy, some new samples are synthetized by the generator of GAN to build a better-trained surrogate model. As a result, the GAN concurrently serves the critical fitness strategy and the data augmentation strategy as the roles of “killing two birds with one stone”. The performance of the proposed algorithm for DD-MOPs was well-verified over 26 benchmark problems and successfully applied to discover new NdFeB materials.","1941-0026","","10.1109/TEVC.2022.3231493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997101","multi-objective evolutionary optimization;generative adversarial network (GAN);critical fitness;data-driven optimization problem (DDOP);material optimization design","Optimization;Data models;Generative adversarial networks;Evolutionary computation;Computational modeling;Mathematical models;Search problems","","","","","","","IEEE","22 Dec 2022","","","IEEE","IEEE Early Access Articles"
"A Two-Stage Differential Evolutionary Algorithm for Deep Ensemble Model Generation","H. Zhao; C. Zhang; B. Xue; M. Zhang; B. Zhang","School of Computer Science and Engineering, Changshu Instituete of Technology, Jiangsu, China; Software College of Northeastern University, Shenyang, China; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Software College of Northeastern University, Shenyang, China","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Deep ensemble models have been demonstrated to show promising generalization capability. A deep ensemble model includes several deep neural networks as base-learners. Building a deep ensemble model is a challenging task, since maintaining the prediction performance of each base-learner and the diversity among base-learners at the same time is difficult. To address this problem, this paper proposes a two-stage optimization algorithm for deep ensemble model generation, called ELDE-TS. ELDE-TS aims to build a weighted voting-based deep ensemble model for classification tasks end-to-end. The ensemble model includes several convolutional neural network classifiers with different hyperparameters. Each classifier is assigned a weight. The first stage of ELDE-TS is a bi-objective algorithm that generates candidate classifiers for the ensemble model. It takes the validation accuracy and the diversity among classifiers as the optimization objectives. A novel objective function is proposed for the first stage to describe the diversity among the classifiers. The second stage is a single-objective algorithm, which selects representative classifiers for the ensemble model and calculates a weight for each classifier. A tree-based non-repetitive evaluation mechanism is embedded in the second stage to accelerate the search process. The experimental results show that the ensemble model generated by ELDE-TS has competitive performance over the state-of-the-art ensemble models and hand-designed deep models on the Fashion-MNIST, CIFAR-10, and CIFAR-100 datasets. Furthermore, further analysis demonstrates that the proposed ensemble selection method and the non-repetitive evaluation mechanism positively contribute to improving the performance of the ensemble model.","1941-0026","","10.1109/TEVC.2022.3231387","Local Science and Technology Development Fund Project Under the Guidance of the Central Goverment of China(grant numbers:1653137155953); Key Project of National Natural Science Foundation of China(grant numbers:U1908212); Taking Lead Science and Technology Research Project of Liaoning(grant numbers:2021jh1/10400006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997107","ensemble learning;deep learning;differential evolution;multi-objective optimization","Convolutional neural networks;Optimization;Ensemble learning;Feature extraction;Task analysis;Predictive models;Linear programming","","","","1","","","IEEE","22 Dec 2022","","","IEEE","IEEE Early Access Articles"
"An Efficient Differential Grouping Algorithm for Large-Scale Global Optimization","A. Kumar; S. Das; R. Mallipeddi","Institute for Advancing Intelligence, TCG CREST, Kolkata, India; Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, Indian; Department of Artificial Intelligence, School of Electronics Engineering, Kyungpook National University, Daegu, Republic of Korea","IEEE Transactions on Evolutionary Computation","","2022","PP","99","1","1","Cooperative co-evolution (CC) is a practical and efficient evolutionary framework for solving large-scale global optimization problems (LSGOPs). The performance of CC depends on how variables are being grouped and can be improved through guided variable decomposition for various optimization problems. However, achieving a proper variable decomposition is computationally expensive. This paper proposes an effective yet efficient differential grouping (EDG) method to reduce the associated computational cost. Our method exploits the historical interrelationship information of previous variable groups to examine interactions between the remnant variable groups. This allows us to spend less computing resources without compromising the accuracy of the final grouping result. Our proposal utilizes the covariance matrix adaptation evolution strategy (CMA-ES) algorithm, in conjunction with EDG, to solve LSGOPs. Further, to reduce time complexity and improve the stability of CMA-ES, we substitute the complex matrix decomposition step with simpler matrix operations to compute the square root of the covariance matrix. Results from our experiments and analysis indicate that EDG is a competitive method to solve LSGOPs and improve the performance of CC. The proposed schemes significantly enhance the searchability of CMA-ES compared to the other large-scale variants of CMA-ES and state-of-the-art large-scale optimizers. Moreover, our EDG could be integrated with evolutionary optimizers of different flavors like Differential Evolution (DE).","1941-0026","","10.1109/TEVC.2022.3230070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9995726","Large-scale Optimization Problems;Cooperative Co-evolution;Efficient Differential Grouping;Covariance Matrix Adaptation Evolution Strategy;Matrix Decomposition","Optimization;Iron;Matrix decomposition;Covariance matrices;Computational efficiency;Search problems;Time complexity","","","","","","","IEEE","21 Dec 2022","","","IEEE","IEEE Early Access Articles"
